city,name,website,phone,address,,happyHour
boston,The Painted Burro,https://www.thepaintedburro.com,617‑776‑0005,"219 Elm St, Somerville, MA 02144",,All‑you‑can‑eat ‘Mucho Mondays’ special on Mondays with unlimited tacos and fixings for $25 per personhttps://boston.eater.com/maps/best-happy-hours-boston#:~:text=The%20Painted%20Burro%20just%20launched
boston,Grendel’s Den,https://www.grendelsden.com,617‑491‑1160,"89 Winthrop St, Cambridge, MA 02138",,Entire food menu is half‑priced daily from 5 p.m. to 7:30 p.m. with a $4 beverage minimumhttps://boston.eater.com/maps/best-happy-hours-boston#:~:text=Grendel%E2%80%99s%20Den%20Restaurant%20%26%20Bar.
boston,A&B Kitchen & Bar,https://www.anbkitchen.com,857‑449‑2251,"115 Beverly St, Boston, MA 02114",,Half‑priced appetizers Monday–Thursday from 2 p.m. to 4:30 p.m. and a $5 burger‑and‑fries deal after 8 p.m.https://boston.eater.com/maps/best-happy-hours-boston#:~:text=A%26B%20Kitchen%20and%20Bar.
boston,La Famiglia Giorgio’s,https://lafamigliagiorgios.com,617‑367‑6711,"112 Salem St, Boston, MA 02113",,"Three‑course special (soup or salad, pasta and cannoli) for $30 Monday–Thursday from 3 p.m. to 6 p.m.https://boston.eater.com/maps/best-happy-hours-boston#:~:text=Link."
boston,Bred Gourmet (Cambridge),https://www.bredgourmet.com,857‑285‑6166,"730 Main St, Cambridge, MA 02139",,"‘Social Hour’ Monday–Friday from 3 p.m. to 6 p.m. offering $4 chicken tenders, burgers, sliders, fries and beignetshttps://www.thebostoncalendar.com/events/the-19-best-happy-hour-food-drink-deals-around-boston-that-are-actually-worth-it#:~:text=19."
boston,Barcelona Wine Bar (Brookline),https://barcelonawinebar.com/locations/brookline/,617‑264‑8900,"1700 Beacon St, Brookline, MA 02446",,Happy hour Monday–Friday from 4 p.m. to 6 p.m. with mini cocktails for $7 and snacks priced under $10https://boston.eater.com/maps/best-happy-hours-boston#:~:text=Cambridge
boston,Banyan Bar & Refuge,https://www.banyanboston.com,617‑556‑4211,"553 Tremont St, Boston, MA 02116",,Happy hour daily from 4 p.m. to 6 p.m. (extended 2–6 p.m. on Sundays) offering 10 dumplings for $5 and five spring rolls for $5https://www.banyanboston.com/#:~:text=GALLERY.
boston,Fat Baby,https://www.fatbabysouthboston.com,617‑766‑3450,"118 Dorchester St, South Boston, MA 02127",,Bottomless maki (sushi rolls) every Monday from 4 p.m. to close for $32https://boston.eater.com/maps/best-happy-hours-boston#:~:text=Fat%20Baby.
boston,Petula’s,https://www.petulasboston.com,617‑752‑4531,"81 L St, South Boston, MA 02127",,$10 martini night on Mondays from 5 p.m. to closehttps://boston.eater.com/maps/best-happy-hours-boston#:~:text=Petula%E2%80%99s.
boston,Local 149,https://www.local149.com,617‑269‑0900,"149 P St, South Boston, MA 02127",,"Monday–Friday from 4 p.m. to 7 p.m. featuring throwback pricing: $3 tacos (Tuesdays), $10 flatbreads (Thursdays) plus $4 Bud Lights, $10 margaritas, $4 shots and $1 wingshttps://boston.eater.com/maps/best-happy-hours-boston#:~:text=Local%20149."
boston,Tuscan Kitchen Seaport,https://tuscanbrands.com/explore-our-brands/,603‑303‑7300,"64 Seaport Blvd, Boston, MA 02210",,‘Bubbles & Truffles’ special featuring a glass of prosecco and truffle fries for $15 (available at the Seaport location)https://www.thebostoncalendar.com/events/the-19-best-happy-hour-food-drink-deals-around-boston-that-are-actually-worth-it#:~:text=3
boston,Loco Taqueria & Oyster Bar (South Boston),https://www.locotacoshops.com/location/loco-taqueria-and-oyster-bar/,617‑917‑5626,"412 W Broadway, Boston, MA 02127",,Taco Tuesday deal with half‑price tacos at the South Boston locationhttps://www.thebostoncalendar.com/events/the-19-best-happy-hour-food-drink-deals-around-boston-that-are-actually-worth-it#:~:text=4
boston,Capo Restaurant & Supper Club,https://www.caposouthboston.com/location/capo-restaurant/,617‑993‑8080,"443 W Broadway, Boston, MA 02127",,Bottomless pasta Wednesdays: unlimited pasta for $32 every Wednesdayhttps://www.thebostoncalendar.com/events/the-19-best-happy-hour-food-drink-deals-around-boston-that-are-actually-worth-it#:~:text=5
boston,Batifol,https://www.batifolcambridge.com,617‑945‑0345,"291 Third St, Cambridge, MA 02142",,Unlimited steak frites on Sundays from 4 p.m. to 10 p.m. for $37 per personhttps://www.thebostoncalendar.com/events/the-19-best-happy-hour-food-drink-deals-around-boston-that-are-actually-worth-it#:~:text=7
boston,Tasca,https://tascatapasrestaurant.com/brighton-tasca-restaurant-happy-hours-specials,844‑536‑3381,"1612 Commonwealth Ave, Brighton, MA 02135",,$5 tapas Monday–Wednesday from 4 p.m. to 6 p.m.https://www.thebostoncalendar.com/events/the-19-best-happy-hour-food-drink-deals-around-boston-that-are-actually-worth-it#:~:text=8.
boston,Rebel’s Guild,https://rebelsguild.com/happenings/,617‑457‑2625,"Revere Hotel Boston Common, 200 Stuart St, Boston, MA 02116",,Mini martini night on Mondays from 5 p.m. to 9:30 p.m. with $7 espresso and dirty martinishttps://www.thebostoncalendar.com/events/the-19-best-happy-hour-food-drink-deals-around-boston-that-are-actually-worth-it#:~:text=9.
boston,Shy Bird (South Boston),https://ironworkssb.com/stores/shy-bird/,617‑714‑4200,"12 Old Colony Ave, Boston, MA 02127",,"‘Shy Hour’ Monday–Friday from 4 p.m. to 6 p.m. with 50‑cent fried chicken dunks, $9.99 smash burgers, $9 cocktails and $6 tall‑boy beershttps://www.thebostoncalendar.com/events/the-19-best-happy-hour-food-drink-deals-around-boston-that-are-actually-worth-it#:~:text=10,Bird%20South%20Boston."
boston,Parish Cafe,https://parishcafe.com,617‑247‑4777,"361 Boylston St, Boston, MA 02116",,Half‑off sandwiches after 10 p.m. with purchase of a beverage; available Sunday–Wednesday 11:30 a.m.–12 a.m. and Thursday–Saturday 11:30 a.m.–2 a.m.https://www.thebostoncalendar.com/events/the-19-best-happy-hour-food-drink-deals-around-boston-that-are-actually-worth-it#:~:text=12%29%20Half
boston,The Broadway (South Boston),https://www.thebroadwaysouthboston.com,617‑307‑6480,"726 East Broadway, South Boston, MA 02127",,Half‑off all pizzas every Tuesday (open 11:30 a.m. – 1:00 a.m.)https://www.thebostoncalendar.com/events/the-19-best-happy-hour-food-drink-deals-around-boston-that-are-actually-worth-it#:~:text=14%29%20Half
boston,Yard House Fenway,https://www.yardhouse.com,617‑236‑4083,"126 Brookline Ave, Boston, MA 02215",,"Happy hour Monday–Friday from 3 p.m. to 6 p.m.; half off select appetizers and pizzas and $2 off beer, wine, spirits and cocktailsfile:///home/oai/redirect.html#:~:text=Monday%20,6%3A00PM."
